Code,Company,Date,Type,Quantity,Unit Price ($),Trade Value ($),Brokerage+GST ($),GST ($),Total Value ($)
LLC,LENDLEASE GROUP STAPLED (FULLY PAID ORDINARY/UNITS STAPLED SECURITIES),27/1/21,Buy,258,12.19,3145.02,19.95,1.81,3164.97
LLC,LENDLEASE GROUP STAPLED (FULLY PAID ORDINARY/UNITS STAPLED SECURITIES),23/2/21,Sell,-100,12.345,-1234.5,19.95,1.81,-1214.55
LLC,LENDLEASE GROUP STAPLED (FULLY PAID ORDINARY/UNITS STAPLED SECURITIES),23/2/21,Sell,-100,12.6828,-1268.28,19.95,1.81,-1248.33
LLC,LENDLEASE GROUP STAPLED (FULLY PAID ORDINARY/UNITS STAPLED SECURITIES),1/3/21,Sell,-100,13.53,-1353,19.95,1.81,-1333.05
LLC,LENDLEASE GROUP STAPLED (FULLY PAID ORDINARY/UNITS STAPLED SECURITIES),7/4/21,Buy,800,13.4,10720,29.95,2.72,10749.95
MPL,MEDIBANK PRIVATE LTD FPO (ORDINARY FULLY PAID),13/10/20,Buy,3500,2.61,9134.91,19.95,1.81,9154.86
MPL,MEDIBANK PRIVATE LTD FPO (ORDINARY FULLY PAID),20/1/21,Sell,-3500,2.9409,-10293.18,29.95,2.72,-10263.23
MQG,MACQUARIE GROUP LTD FPO (ORDINARY FULLY PAID),25/9/20,Sell,-30,121.64,-3649.2,19.95,1.81,-3629.25
MVF,MONASH IVF GROUP LTD FPO (ORDINARY FULLY PAID),13/7/20,Sell,-5000,0.545,-2725,19.95,1.81,-2705.05
NVX,NOVONIX LIMITED FPO (ORDINARY FULLY PAID),27/1/21,Buy,1000,3.22,3220,19.95,1.81,3239.95
NVX,NOVONIX LIMITED FPO (ORDINARY FULLY PAID),27/1/21,Buy,1000,3.2186,3218.6,19.95,1.81,3238.55
NVX,NOVONIX LIMITED FPO (ORDINARY FULLY PAID),27/1/21,Buy,1000,3.16,3160,19.95,1.81,3179.95
NVX,NOVONIX LIMITED FPO (ORDINARY FULLY PAID),27/1/21,Buy,500,3.22,1610,19.95,1.81,1629.95
NVX,NOVONIX LIMITED FPO (ORDINARY FULLY PAID),27/1/21,Buy,800,3.75,3000,19.95,1.81,3019.95
NVX,NOVONIX LIMITED FPO (ORDINARY FULLY PAID),8/2/21,Buy,1000,2.71,2710,19.95,1.81,2729.95
NVX,NOVONIX LIMITED FPO (ORDINARY FULLY PAID),9/2/21,Buy,800,2.64,2112,19.95,1.81,2131.95
NVX,NOVONIX LIMITED FPO (ORDINARY FULLY PAID),19/2/21,Sell,-1100,3.37,-3707,19.95,1.81,-3687.05
NVX,NOVONIX LIMITED FPO (ORDINARY FULLY PAID),22/2/21,Buy,1200,3.1364,3763.67,19.95,1.81,3783.62
NVX,NOVONIX LIMITED FPO (ORDINARY FULLY PAID),22/2/21,Buy,1000,3.2,3200,19.95,1.81,3219.95
NVX,NOVONIX LIMITED FPO (ORDINARY FULLY PAID),22/2/21,Buy,830,3.015,2502.45,19.95,1.81,2522.4
NVX,NOVONIX LIMITED FPO (ORDINARY FULLY PAID),23/2/21,Sell,-500,3.28,-1640,19.95,1.81,-1620.05
NVX,NOVONIX LIMITED FPO (ORDINARY FULLY PAID),23/2/21,Sell,-530,3.25,-1722.5,19.95,1.81,-1702.55
NVX,NOVONIX LIMITED FPO (ORDINARY FULLY PAID),6/4/21,Sell,-2000,2.31,-4620,19.95,1.81,-4600.05
NVX,NOVONIX LIMITED FPO (ORDINARY FULLY PAID),29/4/21,Sell,-1000,2.42,-2420,19.95,1.81,-2400.05
NVX,NOVONIX LIMITED FPO (ORDINARY FULLY PAID),18/5/21,Sell,-200,2.02,-404,10,0.91,-394
QAN,QANTAS AIRWAYS FPO (ORDINARY FULLY PAID),13/10/20,Sell,-1000,4.38,-4380,19.95,1.81,-4360.05
QAN,QANTAS AIRWAYS FPO (ORDINARY FULLY PAID),6/4/21,Buy,500,5.23,2615,19.95,1.81,2634.95
QAN,QANTAS AIRWAYS FPO (ORDINARY FULLY PAID),6/4/21,Buy,1000,5.28,5280,19.95,1.81,5299.95
QAN,QANTAS AIRWAYS FPO (ORDINARY FULLY PAID),12/5/21,Buy,520,4.5,2340,19.95,1.81,2359.95
SOR,STRATEGIC ELEMENTS FPO (ORDINARY FULLY PAID),19/1/21,Buy,5000,0.605,3025,19.95,1.81,3044.95
SOR,STRATEGIC ELEMENTS FPO (ORDINARY FULLY PAID),20/1/21,Buy,5000,0.845,4225,19.95,1.81,4244.95
SOR,STRATEGIC ELEMENTS FPO (ORDINARY FULLY PAID),21/1/21,Buy,5000,0.68,3400,19.95,1.81,3419.95
SOR,STRATEGIC ELEMENTS FPO (ORDINARY FULLY PAID),8/2/21,Buy,10000,0.5,5000,19.95,1.81,5019.95
SOR,STRATEGIC ELEMENTS FPO (ORDINARY FULLY PAID),19/2/21,Sell,-8000,0.475,-3800,19.95,1.81,-3780.05
SOR,STRATEGIC ELEMENTS FPO (ORDINARY FULLY PAID),22/2/21,Sell,-4000,0.46,-1840,19.95,1.81,-1820.05
SOR,STRATEGIC ELEMENTS FPO (ORDINARY FULLY PAID),22/2/21,Sell,-1000,0.46,-460,10,0.91,-450
SOR,STRATEGIC ELEMENTS FPO (ORDINARY FULLY PAID),22/2/21,Sell,-7000,0.455,-3185,19.95,1.81,-3165.05
SOR,STRATEGIC ELEMENTS FPO (ORDINARY FULLY PAID),23/2/21,Sell,-5000,0.4525,-2262.5,19.95,1.81,-2242.55
VUL,VULCAN ENERGY FPO (ORDINARY FULLY PAID),20/1/21,Buy,300,9.99,2997,19.95,1.81,3016.95
VUL,VULCAN ENERGY FPO (ORDINARY FULLY PAID),21/1/21,Buy,300,7.44,2232,19.95,1.81,2251.95
VUL,VULCAN ENERGY FPO (ORDINARY FULLY PAID),25/1/21,Buy,350,7.07,2474.5,19.95,1.81,2494.45
VUL,VULCAN ENERGY FPO (ORDINARY FULLY PAID),7/4/21,Sell,-950,5.9069,-5611.53,19.95,1.81,-5591.58
WBC,WESTPAC BANKING CORP FPO (ORDINARY FULLY PAID),13/7/20,Sell,-200,18.13,-3626,19.95,1.81,-3606.05
WBT,WEEBIT NANO LTD FPO (ORDINARY FULLY PAID),19/1/21,Buy,1000,3.65,3650,19.95,1.81,3669.95
WBT,WEEBIT NANO LTD FPO (ORDINARY FULLY PAID),21/1/21,Sell,-1000,4.11,-4110,19.95,1.81,-4090.05
,,,,,,,,,
,,,,,,,,,300099.28
,,,,,,,,,203445.23
